Density,Anomaly at -10,Anomaly at -9,Anomaly at -8,Anomaly at -7,Anomaly at -6,Anomaly at -5,Anomaly at -4,Anomaly at -3,Anomaly at -2,Anomaly at -1,Anomaly at 0,Anomaly at 1,Anomaly at 2,Anomaly at 3,Anomaly at 4,Anomaly at 5,Anomaly at 6,Anomaly at 7,Anomaly at 8,Anomaly at 9,Anomaly at 10,Depth
-1764.379,-30.417,-29.281,-36.269,-44.622,-55.817,-54.207,-67.11,-83.909,-76.648,-80.916,-94.508,-94.428,-85.564,-81.269,-68.153,-52.989,-42.184,-41.679,-35.395,-32.02,-27.319,9.149
-1969.771,-58.335,-77.037,-127.235,-162.748,-183.932,-225.496,-349.729,-570.227,-795.571,-903.109,-985.978,-898.672,-737.268,-597.133,-439.281,-239.349,-161.77,-129.059,-103.761,-77.217,-60.263,4.262
-2137.527,-1488.737,-1850.892,-2124.402,-2252.49,-2462.941,-2873.495,-3143.069,-3226.939,-3805.627,-3779.135,-4531.567,-3550.927,-3095.251,-3983.915,-3057.901,-2620.17,-2583.639,-2413.612,-1390.353,-1411.969,-1038.512,9.789
-1994.79,-361.499,-485.447,-530.195,-691.252,-956.741,-1069.447,-1443.096,-2055.388,-2185.514,-2006.522,-2678.327,-1833.619,-1543.212,-2026.868,-1628.706,-1075.551,-906.889,-548.887,-546.455,-502.529,-333.376,6.185
-1085.168,-55.293,-82.062,-94.587,-90.908,-141.703,-144.453,-177.762,-141.346,-169.175,-201.057,-255.805,-191.194,-190.311,-206.246,-170.913,-166.564,-128.342,-122.257,-100.348,-76.849,-78.351,8.99
-2395.9,-111.049,-149.113,-189.927,-260.14,-365.474,-526.422,-625.484,-900.381,-1117.207,-1072.102,-1302.379,-1239.054,-1410.004,-862.318,-639.582,-499.361,-364.448,-287.54,-178.125,-191.256,-106.665,4.967
-1887.762,-38.686,-39.194,-50.782,-61.698,-75.509,-69.867,-91.096,-106.89,-131.651,-99.077,-135.141,-125.648,-119.434,-103.303,-90.392,-96.974,-65.83,-63.225,-63.36,-42.878,-30.817,9.635
-1346.578,-597.201,-758.996,-1226.595,-1244.983,-1439.1,-1933.145,-2356.8,-2231.736,-2306.466,-2489.231,-3638.374,-2572.105,-2421.336,-2470.126,-2033.964,-1567.212,-1612.434,-1221.0,-868.504,-987.351,-803.875,7.785
-1425.222,-175.178,-237.794,-284.971,-432.351,-455.019,-632.635,-719.731,-814.998,-942.294,-1240.591,-985.81,-1042.556,-1193.921,-813.775,-554.198,-484.072,-474.04,-332.713,-203.259,-228.798,-197.353,6.277
-2159.086,-26.402,-23.497,-34.864,-37.58,-38.946,-49.2,-65.735,-66.147,-89.148,-85.789,-82.831,-89.422,-65.439,-61.469,-74.719,-49.644,-55.504,-43.688,-34.435,-27.38,-22.067,8.715
-1926.081,-97.558,-184.107,-203.764,-289.516,-307.823,-405.112,-525.037,-596.226,-534.169,-825.124,-724.733,-767.677,-788.95,-659.551,-564.684,-389.774,-303.216,-306.313,-249.885,-145.669,-108.391,6.483
-2223.378,-41.518,-41.926,-66.81,-87.761,-97.523,-112.747,-144.11,-186.536,-166.875,-232.063,-228.647,-233.385,-212.79,-217.29,-113.072,-126.353,-80.513,-74.032,-62.466,-42.315,-38.516,6.673
-1857.061,-69.636,-81.143,-129.552,-180.51,-280.536,-330.694,-497.92,-633.968,-933.918,-989.908,-1151.848,-1051.284,-878.236,-547.21,-345.458,-361.859,-209.663,-183.399,-124.902,-65.528,-82.246,4.412
-2565.278,-1286.444,-1676.305,-1746.598,-2104.072,-2965.916,-3071.587,-2919.031,-4064.794,-4538.848,-5236.095,-5327.189,-4506.205,-4567.807,-4024.46,-2768.862,-3294.672,-2359.069,-1721.927,-1645.008,-1550.446,-1407.776,8.268
-1649.713,-55.435,-76.757,-101.927,-110.561,-104.579,-161.555,-147.352,-205.711,-214.539,-279.167,-144.587,-232.4,-196.58,-212.438,-173.266,-135.657,-151.382,-135.311,-74.581,-68.553,-64.405,8.869
-1580.331,-339.897,-605.039,-579.695,-691.348,-896.269,-909.482,-1379.065,-1541.721,-1206.874,-1594.184,-1593.737,-1579.205,-1473.431,-1298.546,-1053.784,-1026.88,-717.549,-802.731,-543.375,-575.107,-340.596,7.756
-1625.368,-273.503,-350.599,-465.484,-600.819,-661.133,-822.6,-974.961,-1297.43,-1190.497,-1186.993,-1380.52,-1098.924,-1176.412,-948.963,-769.57,-846.302,-692.383,-662.292,-425.329,-333.047,-386.782,8.746
-1285.74,-470.353,-630.018,-817.648,-1137.607,-1426.674,-1556.096,-1811.81,-1693.767,-2613.16,-2918.206,-2288.191,-1898.461,-3227.867,-2330.125,-1621.59,-1461.779,-1337.091,-1141.379,-758.75,-714.863,-540.76,7.52
-2554.532,-123.816,-120.963,-128.809,-183.614,-165.282,-302.183,-318.851,-245.128,-323.725,-343.732,-321.739,-310.938,-335.859,-363.947,-268.248,-219.997,-201.136,-169.13,-147.959,-119.729,-94.531,8.746
-2496.16,-358.944,-595.316,-654.505,-634.541,-859.15,-1443.573,-1649.242,-2636.283,-2751.034,-3052.594,-2756.406,-2199.537,-2650.825,-2317.313,-1588.938,-1176.85,-1054.899,-819.194,-613.484,-497.047,-369.386,5.472
-2171.027,-192.644,-199.576,-274.241,-366.5,-437.766,-700.847,-666.197,-877.854,-1130.954,-1156.569,-1288.979,-1064.023,-890.961,-1042.635,-712.365,-593.187,-569.865,-335.332,-252.895,-172.095,-219.938,6.206
-2595.114,-369.372,-312.681,-329.245,-432.477,-468.328,-670.869,-791.56,-875.614,-996.918,-929.928,-956.327,-984.213,-974.2,-839.989,-749.523,-643.479,-637.365,-545.486,-451.501,-407.821,-402.948,9.152
-1392.632,-258.866,-278.182,-270.496,-406.153,-524.921,-478.236,-876.428,-879.411,-829.812,-1192.775,-1254.382,-1440.437,-1199.809,-1058.788,-858.351,-664.782,-412.42,-476.292,-391.973,-267.72,-210.957,7.385
-1883.717,-131.977,-185.819,-214.219,-232.673,-328.539,-381.543,-535.816,-531.158,-630.237,-687.576,-641.447,-566.145,-568.978,-575.527,-363.36,-355.047,-285.372,-273.351,-133.386,-138.723,-99.783,6.8
-1554.788,-24.686,-20.37,-33.924,-39.14,-46.166,-54.748,-66.118,-56.937,-81.865,-68.077,-80.795,-74.823,-66.173,-63.345,-43.918,-53.327,-50.233,-34.014,-31.166,-27.948,-25.312,8.749
-1856.548,-39.951,-54.118,-57.088,-87.122,-106.092,-144.079,-180.304,-202.74,-268.292,-279.517,-357.556,-338.68,-252.896,-209.677,-170.968,-139.068,-102.665,-70.378,-73.267,-41.61,-40.317,5.913
-2108.824,-49.026,-68.568,-71.045,-90.947,-126.027,-179.425,-251.11,-334.059,-352.169,-526.647,-539.487,-571.83,-456.593,-333.012,-268.957,-167.247,-128.998,-118.275,-80.341,-61.204,-39.883,5.11
-2133.745,-288.644,-455.793,-559.897,-601.548,-823.828,-1101.423,-1083.419,-1114.321,-1127.107,-1490.544,-1223.317,-1534.78,-1114.014,-1272.936,-861.667,-881.507,-723.055,-583.514,-529.993,-405.504,-386.02,7.767
-1317.491,-87.752,-91.932,-136.988,-187.0,-235.755,-379.344,-376.272,-396.082,-586.771,-791.879,-669.832,-613.073,-668.853,-369.543,-375.268,-321.345,-220.68,-139.61,-127.5,-100.541,-76.692,5.55
-1648.144,-121.443,-118.297,-166.907,-197.999,-233.206,-355.454,-364.241,-490.296,-599.638,-608.42,-611.758,-493.023,-509.324,-514.886,-529.199,-293.277,-232.955,-217.691,-166.906,-136.81,-124.728,6.912
-2428.846,-129.62,-155.569,-219.978,-231.841,-304.796,-263.16,-399.139,-318.107,-446.595,-461.739,-349.012,-449.716,-565.251,-374.323,-359.426,-337.085,-265.419,-209.837,-139.45,-143.561,-129.523,9.429
-2399.203,-1689.516,-1472.73,-2137.663,-2579.279,-2929.144,-2671.857,-2583.993,-4535.468,-4030.958,-5012.529,-4213.208,-4802.436,-4486.509,-4299.752,-3805.673,-3000.598,-3034.161,-2304.794,-1754.923,-1607.653,-1695.748,9.531
-1530.158,-658.517,-813.216,-867.303,-981.942,-1139.476,-1543.292,-1395.67,-1536.501,-1827.311,-1889.167,-2148.775,-1828.531,-1795.637,-1428.174,-1625.333,-1498.37,-1200.667,-1108.58,-964.222,-856.642,-688.06,9.784
-1880.183,-853.727,-800.451,-1021.619,-892.388,-1067.176,-1559.619,-1763.23,-1641.464,-1652.829,-2248.91,-2218.035,-1995.035,-1875.569,-1673.745,-1781.183,-1317.319,-1240.431,-883.488,-947.135,-885.963,-735.646,9.513
-1844.682,-23.872,-40.476,-35.044,-57.822,-48.241,-69.77,-106.117,-156.755,-177.327,-214.678,-215.515,-226.259,-174.157,-141.369,-119.689,-91.543,-59.026,-53.764,-43.04,-37.535,-24.158,5.571
-1483.712,-206.276,-165.106,-227.921,-370.132,-401.423,-451.335,-452.723,-508.113,-679.566,-645.122,-581.636,-482.964,-437.258,-567.543,-494.308,-446.523,-363.657,-332.909,-300.956,-240.933,-210.722,8.959
-1601.091,-16.333,-24.037,-32.479,-43.856,-41.9,-58.376,-71.251,-99.912,-126.758,-140.805,-135.95,-139.847,-89.581,-77.353,-76.279,-62.742,-51.083,-34.577,-27.039,-26.304,-16.747,5.816
-2349.557,-747.709,-1043.31,-1264.18,-1448.605,-1735.787,-2414.886,-2079.344,-3712.257,-3827.652,-4786.194,-3722.947,-3313.906,-4300.647,-3395.256,-2928.898,-2334.291,-1867.168,-1350.41,-1356.073,-996.738,-752.15,7.295
-1695.9,-429.012,-568.268,-603.827,-819.672,-967.177,-1368.696,-1796.958,-1496.09,-1878.061,-2314.901,-2410.908,-1957.017,-2118.224,-1885.81,-1719.643,-1213.619,-941.237,-801.17,-511.841,-426.959,-366.211,7.074
-2122.53,-30.552,-32.439,-51.779,-61.16,-79.559,-129.839,-149.513,-301.471,-371.785,-544.065,-583.535,-372.201,-330.52,-295.914,-204.626,-104.785,-110.167,-77.686,-50.613,-33.195,-28.949,4.058
-2429.229,-1347.184,-1557.044,-1482.158,-2419.759,-2803.6,-3856.152,-4169.922,-4155.648,-5037.138,-5485.898,-5617.065,-5494.019,-5738.313,-3834.024,-3427.57,-3132.953,-2466.218,-2136.129,-2016.708,-1546.691,-1433.056,7.885
-2167.617,-42.994,-57.455,-61.47,-69.66,-85.026,-91.085,-96.437,-119.395,-141.827,-138.113,-133.82,-150.135,-155.307,-105.262,-112.797,-95.464,-103.109,-60.374,-64.266,-47.589,-57.035,9.256
-1930.055,-512.17,-837.349,-1013.992,-1005.126,-1097.968,-1569.667,-1474.61,-2043.132,-2017.766,-1704.436,-2325.076,-2071.57,-1958.205,-1439.347,-1465.994,-1305.158,-1374.683,-1330.583,-1022.864,-706.471,-589.792,9.794
-2008.533,-552.057,-555.268,-700.398,-564.092,-1166.728,-1248.699,-1336.287,-1459.723,-1390.094,-1673.937,-2107.977,-1946.392,-2066.184,-1663.199,-1518.499,-1181.678,-989.871,-886.107,-736.74,-514.326,-393.083,8.021
-2030.114,-68.246,-107.037,-140.38,-236.366,-207.938,-404.22,-491.663,-618.774,-902.559,-1062.888,-1182.78,-1053.962,-1043.761,-562.522,-468.593,-356.717,-254.304,-171.15,-161.998,-102.412,-85.628,4.612
-1558.546,-43.566,-48.034,-61.6,-70.991,-91.242,-126.267,-168.661,-251.377,-278.683,-320.653,-349.32,-413.457,-297.658,-247.691,-182.604,-133.648,-95.448,-91.392,-58.984,-51.808,-36.545,5.614
-2144.649,-51.534,-76.26,-84.403,-94.544,-99.531,-190.997,-237.036,-285.843,-321.583,-329.337,-366.639,-371.471,-331.639,-299.225,-248.993,-211.197,-149.664,-133.259,-81.928,-81.511,-49.464,6.401
