Density,Anomaly at -10,Anomaly at -9,Anomaly at -8,Anomaly at -7,Anomaly at -6,Anomaly at -5,Anomaly at -4,Anomaly at -3,Anomaly at -2,Anomaly at -1,Anomaly at 0,Anomaly at 1,Anomaly at 2,Anomaly at 3,Anomaly at 4,Anomaly at 5,Anomaly at 6,Anomaly at 7,Anomaly at 8,Anomaly at 9,Anomaly at 10,Depth
-2114.473,-343.57,-459.776,-583.205,-776.358,-709.163,-1214.179,-1673.154,-1981.261,-2092.126,-2787.265,-2584.086,-2441.674,-2141.138,-1966.441,-1413.766,-1049.197,-844.659,-660.319,-504.038,-512.235,-285.921,5.687
-1470.154,-303.993,-358.238,-409.311,-511.503,-588.785,-732.037,-629.653,-886.677,-949.479,-909.834,-967.169,-1063.832,-873.983,-777.923,-740.434,-560.672,-595.985,-487.602,-337.313,-326.118,-302.473,9.002
-1764.705,-37.553,-49.832,-49.547,-70.857,-93.999,-155.719,-199.94,-192.375,-285.492,-343.714,-385.406,-382.504,-305.983,-203.724,-173.422,-157.791,-100.969,-83.398,-67.508,-44.46,-41.167,5.282
-1615.251,-496.5,-580.951,-468.329,-704.927,-1025.313,-1029.883,-972.323,-1366.293,-1398.703,-1582.804,-1540.11,-1594.262,-1352.496,-1523.368,-1273.541,-1217.941,-782.546,-839.665,-788.19,-620.776,-501.974,9.768
-1541.239,-93.902,-125.001,-135.198,-141.72,-171.497,-232.09,-207.409,-249.189,-315.11,-257.386,-303.904,-273.031,-238.562,-231.202,-237.747,-189.516,-181.496,-150.363,-130.412,-117.927,-114.631,8.826
-2491.662,-1309.729,-1366.197,-2007.889,-2629.446,-2576.669,-3074.0,-3647.883,-5318.732,-5811.348,-5219.078,-3438.677,-6068.777,-5015.969,-4200.246,-3949.348,-2767.707,-2482.479,-2279.789,-1450.028,-1461.918,-1402.307,8.31
-1816.912,-53.093,-57.733,-64.984,-46.027,-94.277,-103.04,-93.156,-135.171,-160.129,-159.436,-153.702,-161.894,-132.065,-137.494,-123.798,-90.219,-74.733,-79.786,-60.899,-45.4,-47.191,8.729
-2075.449,-26.902,-33.879,-42.851,-65.326,-73.05,-102.793,-145.137,-163.672,-249.178,-188.537,-246.736,-261.423,-209.594,-173.035,-147.133,-109.36,-72.537,-58.241,-41.766,-31.035,-19.452,5.304
-1947.508,-762.429,-835.62,-1125.177,-1136.41,-1640.686,-2210.297,-2019.863,-2198.387,-2721.267,-3090.25,-3066.424,-3071.29,-3369.839,-2297.976,-2102.386,-1756.799,-1443.957,-1180.025,-1280.045,-918.015,-729.949,7.642
-2265.282,-200.437,-285.206,-420.971,-468.537,-698.244,-767.461,-1125.001,-1419.334,-1955.625,-2159.95,-1988.745,-1785.738,-1551.799,-1553.748,-976.93,-825.757,-635.089,-494.018,-330.977,-259.298,-180.426,5.149
-1737.665,-31.284,-39.426,-52.395,-62.8,-62.849,-124.675,-165.086,-229.828,-206.678,-340.274,-305.789,-320.724,-314.935,-249.911,-148.232,-123.608,-86.415,-58.212,-52.803,-44.45,-26.6,4.968
-1603.564,-588.072,-1047.864,-1062.251,-1614.853,-1829.57,-2318.731,-3053.657,-2729.371,-2788.476,-3126.616,-2852.834,-3217.129,-3058.8,-2620.977,-2236.328,-1925.102,-1643.955,-1222.52,-1142.648,-969.55,-1089.545,8.179
-1743.007,-178.898,-231.729,-303.649,-323.061,-357.067,-546.04,-519.433,-668.355,-847.728,-703.337,-730.662,-690.718,-586.349,-737.337,-480.107,-336.324,-356.42,-328.179,-260.794,-252.292,-183.022,8.181
-2311.639,-1339.085,-1414.477,-1843.283,-2275.432,-2754.455,-3551.823,-3217.836,-4059.733,-4872.049,-4769.123,-5701.935,-4423.213,-4400.235,-4392.531,-2735.797,-3312.885,-2842.759,-2537.52,-1905.514,-1900.719,-1394.239,8.547
-1981.255,-27.345,-31.874,-35.573,-54.632,-79.197,-105.977,-135.872,-213.542,-262.749,-466.927,-377.434,-415.23,-262.025,-213.94,-181.068,-113.665,-75.335,-57.284,-38.437,-29.109,-26.238,3.974
-2533.182,-529.925,-731.914,-763.864,-1021.963,-1492.195,-1655.805,-2343.852,-2445.447,-2816.477,-3187.516,-3222.859,-3551.701,-2815.01,-2642.389,-1698.005,-1983.198,-1364.018,-898.822,-873.634,-735.89,-701.526,6.835
-1672.448,-147.491,-154.025,-170.373,-193.094,-262.806,-379.735,-336.006,-375.353,-423.127,-385.498,-541.498,-479.741,-436.168,-438.327,-368.99,-280.952,-319.584,-240.512,-145.49,-156.411,-142.435,9.285
-1708.804,-215.869,-276.321,-306.243,-370.775,-422.0,-535.124,-514.46,-593.528,-634.479,-867.986,-702.4,-748.894,-689.297,-589.898,-715.668,-458.647,-465.116,-351.231,-302.541,-244.08,-198.557,8.867
-2371.784,-64.715,-98.772,-115.448,-98.532,-135.677,-140.936,-169.229,-199.045,-195.679,-185.077,-159.157,-217.648,-157.661,-161.727,-154.035,-180.04,-123.44,-105.533,-92.427,-70.412,-63.434,9.318
-2551.944,-611.199,-598.335,-881.236,-1113.747,-1501.172,-1031.172,-1556.153,-1866.539,-1587.679,-1952.523,-2265.904,-1951.102,-2081.305,-1865.542,-1413.475,-1504.569,-1370.921,-1042.834,-953.034,-953.513,-766.948,8.771
-1979.134,-1318.781,-1935.15,-2060.653,-2627.849,-2981.96,-3497.904,-4024.571,-5332.324,-5839.818,-5640.67,-5907.508,-4382.324,-5086.863,-4507.959,-4018.909,-2923.038,-2678.783,-2080.515,-1863.71,-1507.199,-973.044,7.975
-1816.754,-77.547,-111.163,-170.788,-196.757,-311.5,-473.06,-733.36,-958.411,-1809.98,-1846.752,-1934.661,-1790.058,-1635.652,-1033.019,-626.217,-556.905,-349.149,-274.665,-160.671,-141.297,-80.712,3.601
-2867.42,-1207.186,-1596.313,-1860.991,-2293.693,-2912.703,-3319.409,-4104.473,-3788.17,-4708.349,-4083.531,-5099.828,-5292.595,-5532.454,-3267.198,-3768.865,-3190.412,-2464.714,-2364.008,-1557.498,-1545.095,-1031.786,6.846
-1687.802,-826.666,-911.349,-1105.394,-1426.301,-1366.634,-1882.805,-1532.566,-1895.868,-2394.57,-2047.964,-1949.209,-2178.352,-2361.271,-2364.495,-2120.715,-1933.605,-1521.816,-1446.908,-1147.903,-1127.431,-860.959,9.799
-2058.964,-473.144,-562.311,-547.772,-735.5,-1251.005,-990.321,-1531.05,-1552.137,-1800.807,-2001.103,-1592.796,-1671.642,-1482.22,-1463.767,-1181.814,-1246.017,-816.139,-809.673,-605.119,-551.633,-475.184,8.394
-1455.55,-223.212,-244.237,-311.502,-629.567,-716.129,-891.602,-1085.333,-1676.803,-1904.092,-2017.148,-2246.949,-2227.754,-1457.502,-1154.68,-1163.1,-927.423,-626.269,-524.501,-414.155,-315.19,-278.084,5.668
-2089.513,-35.849,-36.318,-47.741,-58.675,-68.212,-75.581,-102.859,-93.171,-92.309,-158.65,-136.645,-148.061,-121.511,-113.35,-106.469,-70.54,-60.324,-59.634,-50.501,-41.538,-32.46,7.982
-2352.323,-434.389,-611.327,-870.466,-1160.243,-1623.56,-1658.945,-2693.935,-2633.171,-2831.718,-3619.289,-3524.297,-3383.027,-3505.988,-2625.041,-2668.763,-1854.396,-1374.484,-1071.473,-885.231,-639.605,-612.394,6.368
-1913.067,-103.553,-177.19,-244.134,-249.126,-288.529,-500.645,-507.412,-755.931,-745.618,-937.82,-932.677,-871.155,-788.757,-656.358,-532.746,-350.06,-296.84,-182.067,-237.16,-145.511,-68.765,5.88
-2041.101,-631.731,-567.646,-999.069,-967.573,-1140.62,-1695.05,-1964.394,-2621.685,-2118.712,-2517.929,-2384.359,-2739.829,-2769.564,-2778.795,-2014.923,-1563.411,-1500.381,-1150.891,-740.972,-710.349,-736.589,7.424
-1555.027,-313.67,-405.626,-641.893,-623.503,-892.704,-1025.072,-1331.431,-1432.803,-1866.043,-2496.577,-2354.126,-2455.731,-2192.869,-1835.421,-1800.65,-1013.469,-811.983,-582.198,-529.382,-438.791,-330.585,5.681
-1857.194,-32.212,-47.927,-58.602,-55.061,-80.25,-92.87,-116.527,-97.675,-139.033,-112.378,-116.835,-115.054,-127.092,-84.894,-83.047,-68.959,-68.949,-53.518,-71.104,-53.995,-49.239,9.707
-1772.959,-102.983,-117.109,-196.524,-242.757,-347.948,-482.11,-782.416,-1119.537,-1356.576,-1568.129,-1839.2,-1511.597,-1300.38,-1153.847,-692.029,-559.443,-346.523,-245.85,-138.592,-124.015,-100.041,3.882
-1886.403,-55.844,-76.545,-102.096,-117.479,-182.454,-236.592,-310.187,-394.281,-553.207,-539.286,-672.428,-673.236,-468.669,-370.178,-323.169,-196.7,-162.445,-110.482,-102.762,-62.751,-56.904,4.901
-1625.73,-55.062,-54.573,-111.093,-121.85,-189.148,-325.891,-429.513,-725.657,-1093.741,-1254.162,-1573.529,-1762.575,-980.644,-702.432,-453.119,-404.719,-187.383,-140.696,-88.628,-82.207,-62.005,3.451
-1809.552,-111.001,-106.99,-169.344,-232.981,-366.425,-606.915,-808.711,-1443.707,-1767.154,-1561.608,-2274.4,-1841.059,-1859.655,-1214.732,-624.674,-557.491,-429.794,-229.131,-188.711,-141.906,-107.916,3.967
-1738.483,-18.526,-28.645,-31.555,-38.471,-44.983,-62.572,-81.426,-88.794,-106.611,-129.667,-112.618,-109.134,-123.321,-90.343,-76.71,-57.016,-57.834,-39.225,-34.247,-24.878,-18.343,6.807
-2014.27,-74.797,-91.859,-132.188,-161.929,-233.34,-383.761,-531.181,-905.445,-1293.367,-1730.803,-1645.479,-1318.715,-1303.432,-853.954,-627.708,-362.555,-223.771,-139.262,-136.461,-106.658,-61.552,3.695
-1589.449,-68.622,-119.391,-123.507,-169.899,-237.683,-245.498,-355.432,-458.335,-594.72,-551.461,-532.964,-593.912,-457.36,-473.543,-383.514,-279.724,-183.529,-184.447,-130.876,-118.893,-82.626,5.779
-2031.27,-547.629,-496.416,-649.683,-891.871,-970.918,-1338.137,-1288.691,-1324.413,-1455.369,-2181.75,-1917.378,-1833.637,-1938.65,-2036.131,-1364.464,-1359.145,-1100.008,-990.038,-697.915,-465.437,-516.277,7.451
-2498.12,-1587.597,-1681.807,-2208.642,-2115.913,-3172.547,-4439.437,-4344.837,-5029.784,-5778.956,-6038.817,-4718.699,-5714.216,-6551.351,-5060.233,-3665.01,-3472.092,-2984.34,-2729.019,-1941.56,-1926.196,-1710.788,8.36
