Density,Anomaly at -10,Anomaly at -9,Anomaly at -8,Anomaly at -7,Anomaly at -6,Anomaly at -5,Anomaly at -4,Anomaly at -3,Anomaly at -2,Anomaly at -1,Anomaly at 0,Anomaly at 1,Anomaly at 2,Anomaly at 3,Anomaly at 4,Anomaly at 5,Anomaly at 6,Anomaly at 7,Anomaly at 8,Anomaly at 9,Anomaly at 10,Depth
-1885.955,-178.549,-209.216,-233.363,-299.096,-344.581,-395.241,-454.646,-550.83,-484.464,-512.352,-597.587,-552.58,-536.645,-496.282,-486.063,-396.573,-322.074,-244.638,-242.549,-211.218,-187.661,9.606
-1752.565,-1017.014,-1208.178,-1207.55,-1578.175,-1933.542,-1972.332,-2504.014,-2541.332,-3097.769,-3134.754,-2914.711,-2774.737,-2743.353,-2591.442,-2375.262,-2258.777,-1896.685,-1620.481,-1272.364,-1142.039,-1105.253,9.725
-2340.735,-67.286,-80.268,-96.761,-122.464,-149.067,-184.424,-183.137,-224.782,-251.094,-242.121,-280.44,-247.513,-240.699,-236.259,-196.966,-159.247,-136.832,-110.107,-99.295,-67.657,-74.997,8.418
-2051.129,-348.574,-416.731,-481.068,-517.06,-624.458,-757.573,-808.082,-922.42,-947.922,-1103.669,-1098.821,-1083.974,-1094.788,-911.339,-820.699,-734.009,-645.99,-593.571,-478.795,-405.624,-354.334,9.261
-2138.748,-421.281,-493.736,-597.632,-682.348,-855.241,-1044.154,-1192.522,-1344.492,-1578.751,-1732.135,-1761.235,-1640.258,-1555.278,-1320.445,-1275.092,-1051.154,-794.934,-719.594,-517.202,-424.773,-350.857,7.624
-2714.468,-619.304,-804.778,-897.969,-1193.481,-1253.223,-1754.773,-2042.972,-2227.22,-2840.347,-2821.064,-2707.901,-3135.951,-2615.706,-2305.001,-1910.225,-1800.397,-1491.187,-1095.663,-907.763,-745.186,-608.936,7.421
-1873.707,-67.529,-69.418,-80.238,-97.767,-126.107,-143.913,-167.252,-166.494,-175.145,-194.562,-191.737,-210.04,-187.913,-188.906,-163.881,-130.447,-120.99,-94.853,-84.355,-61.928,-62.58,9.188
-2354.034,-29.949,-37.179,-47.237,-60.909,-77.867,-89.694,-100.025,-122.722,-152.128,-152.296,-154.752,-162.056,-140.243,-123.885,-112.674,-85.478,-68.977,-54.198,-44.058,-41.429,-33.051,7.164
-1630.583,-654.717,-752.507,-982.327,-1077.649,-1306.665,-1609.317,-1868.983,-2287.199,-2565.985,-2475.993,-2684.202,-2506.701,-2429.532,-2368.824,-1848.455,-1672.656,-1382.339,-1233.93,-1002.5,-746.428,-685.53,8.481
-2408.05,-120.282,-123.811,-168.731,-243.685,-266.129,-344.701,-382.383,-501.177,-551.794,-580.19,-584.777,-641.408,-559.02,-492.061,-418.792,-296.418,-262.6,-233.721,-165.743,-123.997,-108.585,6.983
