Density,Anomaly at -10,Anomaly at -9,Anomaly at -8,Anomaly at -7,Anomaly at -6,Anomaly at -5,Anomaly at -4,Anomaly at -3,Anomaly at -2,Anomaly at -1,Anomaly at 0,Anomaly at 1,Anomaly at 2,Anomaly at 3,Anomaly at 4,Anomaly at 5,Anomaly at 6,Anomaly at 7,Anomaly at 8,Anomaly at 9,Anomaly at 10,Depth
-2180.826,-196.396,-231.628,-226.307,-374.981,-428.886,-494.91,-594.775,-852.738,-475.52,-516.165,-835.742,-678.976,-686.708,-631.969,-721.925,-500.301,-337.798,-154.576,-263.485,-239.731,-233.276,9.606
-1904.971,-1152.992,-1427.641,-902.279,-1718.886,-2415.234,-1865.606,-3186.176,-2674.69,-4252.799,-4036.093,-3073.507,-2666.458,-2904.473,-2865.325,-2696.359,-2955.347,-2275.014,-1879.833,-1148.858,-1176.023,-1488.683,9.725
-2128.948,-52.591,-62.656,-77.566,-114.802,-147.802,-202.535,-137.152,-209.837,-242.095,-178.277,-287.674,-195.443,-209.006,-246.374,-181.172,-122.39,-108.855,-75.467,-85.635,-22.512,-77.136,8.418
-1552.183,-283.67,-351.835,-390.645,-334.433,-448.784,-617.442,-562.936,-687.813,-606.678,-919.595,-871.609,-867.431,-995.668,-658.465,-596.354,-555.032,-505.813,-537.082,-384.625,-322.416,-298.928,9.261
-2144.693,-518.822,-569.946,-683.506,-673.675,-911.862,-1146.648,-1195.13,-1248.76,-1643.71,-1881.694,-1875.04,-1559.23,-1561.327,-1164.363,-1484.93,-1171.216,-700.201,-804.4,-401.218,-327.904,-271.655,7.624
-3292.109,-743.336,-1122.244,-1009.429,-1636.642,-1130.315,-2367.004,-2595.145,-2354.642,-4037.042,-3303.039,-2585.418,-4639.673,-3083.489,-2684.805,-2031.66,-2560.669,-2140.426,-1221.422,-1051.001,-869.286,-699.324,7.421
-1824.049,-76.922,-56.227,-61.245,-84.207,-139.389,-155.204,-188.674,-142.455,-135.392,-177.03,-158.747,-229.768,-178.895,-218.817,-177.19,-109.321,-121.957,-74.278,-75.272,-30.706,-60.06,9.188
-2431.896,-27.478,-35.603,-49.33,-70.53,-97.198,-98.705,-89.34,-122.657,-184.485,-153.203,-150.412,-188.494,-141.509,-126.861,-135.077,-83.462,-65.056,-46.262,-37.835,-50.968,-38.691,7.164
-1624.721,-562.332,-572.884,-977.722,-840.812,-1096.812,-1546.867,-1812.524,-2647.492,-3084.78,-2405.412,-3001.163,-2512.504,-2608.909,-2932.154,-1740.934,-1767.76,-1360.72,-1385.829,-1048.075,-551.685,-669.792,8.481
-2391.544,-130.694,-77.581,-151.011,-307.566,-256.829,-375.023,-328.586,-554.227,-557.378,-531.202,-501.215,-743.997,-582.497,-522.539,-455.144,-207.191,-244.563,-272.933,-140.623,-78.227,-90.037,6.983
-2609.52,-148.947,-296.067,-424.554,-543.555,-523.753,-864.405,-908.284,-552.292,-655.274,-996.152,-1089.513,-958.076,-459.999,-747.567,-577.17,-635.09,-505.888,-369.266,-345.623,-412.351,-179.432,8.063
-1989.16,-416.853,-450.296,-556.619,-660.418,-558.918,-721.004,-1008.001,-790.066,-984.213,-915.602,-973.946,-1296.274,-1175.876,-821.221,-767.166,-782.863,-663.532,-430.002,-567.06,-381.871,-384.299,9.532
-2390.762,-704.524,-1168.3,-1015.396,-1604.253,-1504.316,-2304.981,-2885.37,-1753.106,-2527.453,-4791.979,-3897.174,-2600.719,-4073.927,-2455.459,-2198.168,-2501.045,-1836.438,-2197.947,-796.674,-1120.973,-727.902,8.036
-2038.668,-36.397,-48.374,-76.983,-107.461,-135.235,-279.67,-434.694,-619.656,-892.331,-1150.109,-981.299,-1008.832,-882.734,-540.572,-406.162,-215.289,-150.781,-91.161,-81.662,-45.436,-26.013,3.144
-2243.107,-117.996,-158.298,-205.42,-127.935,-262.826,-363.877,-232.531,-319.67,-288.34,-503.672,-398.643,-642.377,-389.361,-441.573,-490.15,-261.272,-396.563,-343.469,-191.975,-154.691,-118.401,8.949
-2142.538,-44.373,-63.748,-109.321,-158.442,-97.043,-159.952,-131.186,-263.176,-240.678,-224.643,-226.556,-246.146,-185.81,-241.364,-182.565,-152.249,-120.946,-99.109,-123.019,-112.034,-52.759,9.287
