Density,Anomaly at -10,Anomaly at -9,Anomaly at -8,Anomaly at -7,Anomaly at -6,Anomaly at -5,Anomaly at -4,Anomaly at -3,Anomaly at -2,Anomaly at -1,Anomaly at 0,Anomaly at 1,Anomaly at 2,Anomaly at 3,Anomaly at 4,Anomaly at 5,Anomaly at 6,Anomaly at 7,Anomaly at 8,Anomaly at 9,Anomaly at 10,Depth
-2121.852,-193.044,-227.369,-228.66,-359.174,-411.367,-474.157,-565.256,-787.688,-479.141,-517.053,-784.98,-652.832,-655.264,-603.575,-671.294,-478.653,-335.402,-175.364,-259.665,-234.126,-223.801,9.606
-1874.49,-1125.188,-1382.285,-968.585,-1690.699,-2314.883,-1890.513,-3043.799,-2649.14,-4010.457,-3847.778,-3042.96,-2692.589,-2873.241,-2809.927,-2630.674,-2809.631,-2196.617,-1826.446,-1176.556,-1170.062,-1408.32,9.725
-2171.306,-55.393,-66.014,-81.239,-116.389,-148.249,-199.466,-145.881,-212.911,-244.114,-190.378,-286.746,-205.385,-215.187,-244.852,-184.363,-129.404,-114.202,-82.002,-88.293,-30.92,-76.85,8.418
-1651.972,-297.673,-366.69,-410.097,-368.035,-482.696,-647.739,-609.467,-734.208,-669.236,-960.75,-919.113,-913.164,-1024.091,-707.436,-639.952,-590.806,-534.721,-552.9,-404.606,-339.852,-311.592,9.261
-2143.504,-499.271,-554.671,-666.294,-675.414,-900.514,-1126.105,-1194.609,-1267.95,-1630.691,-1851.718,-1852.231,-1575.474,-1560.117,-1195.65,-1442.871,-1147.152,-719.19,-787.402,-424.467,-347.322,-287.531,7.624
-3176.581,-718.747,-1054.646,-989.373,-1542.699,-1165.834,-2237.853,-2481.414,-2338.887,-3781.076,-3209.967,-2629.531,-4315.448,-2992.426,-2611.952,-2015.376,-2398.027,-2001.26,-1199.286,-1023.755,-845.434,-682.347,7.421
-1833.98,-75.092,-58.816,-64.97,-86.871,-136.805,-153.012,-184.502,-147.177,-143.189,-180.483,-165.224,-225.932,-180.681,-212.987,-174.605,-113.469,-121.782,-78.314,-77.059,-36.822,-60.56,9.188
-2416.324,-27.99,-35.932,-48.909,-68.567,-93.246,-96.871,-91.549,-122.691,-177.873,-153.043,-151.328,-183.099,-141.273,-126.272,-130.5,-83.89,-65.872,-47.899,-39.119,-49.018,-37.54,7.164
-1625.893,-580.757,-608.706,-978.642,-888.044,-1138.664,-1559.324,-1823.787,-2575.646,-2981.325,-2419.492,-2937.959,-2511.352,-2573.142,-2819.817,-1762.38,-1748.797,-1365.034,-1355.539,-1038.989,-590.522,-672.932,8.481
-2394.845,-128.624,-86.777,-154.536,-294.862,-258.681,-368.995,-339.289,-543.679,-556.272,-540.95,-517.84,-723.597,-577.831,-516.48,-447.917,-224.94,-248.153,-265.135,-145.621,-87.331,-93.727,6.983
