Density,Anomaly at -10,Anomaly at -9,Anomaly at -8,Anomaly at -7,Anomaly at -6,Anomaly at -5,Anomaly at -4,Anomaly at -3,Anomaly at -2,Anomaly at -1,Anomaly at 0,Anomaly at 1,Anomaly at 2,Anomaly at 3,Anomaly at 4,Anomaly at 5,Anomaly at 6,Anomaly at 7,Anomaly at 8,Anomaly at 9,Anomaly at 10,Depth
-2627.828,-517.472,-582.506,-606.582,-990.129,-770.432,-1208.38,-1204.237,-1356.899,-1437.923,-1630.993,-1725.714,-1570.067,-1367.415,-1150.555,-1417.491,-746.135,-885.87,-875.022,-716.544,-653.175,-519.235,9.314
-2557.517,-1438.934,-1604.157,-2073.522,-2277.95,-2305.975,-3180.088,-4244.868,-4001.565,-4956.275,-4862.923,-5251.388,-5125.613,-5456.781,-4065.102,-3675.442,-3209.56,-2666.999,-2368.913,-1750.842,-1377.607,-1109.051,8.008
-1493.314,-567.919,-668.303,-837.211,-845.499,-1102.177,-1517.539,-1573.086,-1767.621,-2522.553,-2754.684,-2000.991,-2512.214,-1660.788,-2090.419,-1612.273,-1333.867,-1030.197,-976.353,-828.693,-720.272,-562.117,7.208
-2251.037,-42.136,-50.332,-67.301,-90.381,-99.241,-124.627,-174.576,-206.952,-192.842,-237.581,-260.083,-301.753,-291.486,-170.463,-150.928,-114.011,-86.338,-78.16,-60.247,-55.929,-42.793,6.49
-2659.35,-129.348,-192.339,-165.811,-250.701,-292.497,-247.58,-384.28,-329.935,-464.781,-414.92,-484.076,-459.258,-509.052,-413.314,-330.457,-339.27,-272.456,-268.792,-249.073,-209.525,-163.711,9.903
-2220.058,-170.688,-183.404,-320.44,-249.32,-350.954,-470.985,-434.448,-585.052,-517.904,-655.791,-717.937,-590.6,-734.327,-417.921,-471.046,-452.343,-372.693,-277.56,-233.758,-269.601,-168.578,9.01
-2006.224,-19.176,-26.639,-34.404,-46.896,-60.611,-90.55,-119.799,-125.29,-129.651,-254.823,-224.972,-210.443,-197.552,-176.046,-106.038,-84.961,-58.7,-52.088,-37.836,-22.674,-15.833,4.797
-1739.119,-116.062,-120.57,-154.13,-193.75,-223.337,-286.948,-348.647,-452.399,-473.029,-526.08,-573.163,-609.041,-478.343,-498.629,-379.902,-264.901,-239.439,-192.905,-166.314,-93.354,-103.53,6.3
-1949.71,-100.977,-109.138,-130.057,-191.04,-224.57,-259.604,-296.407,-315.483,-327.273,-437.43,-415.919,-434.342,-338.856,-364.905,-316.828,-197.061,-206.23,-155.222,-147.974,-120.092,-112.45,8.456
-2285.226,-82.767,-116.449,-124.138,-170.393,-211.649,-314.657,-375.699,-404.479,-465.067,-462.75,-529.204,-470.946,-460.07,-362.804,-349.086,-271.981,-242.989,-170.726,-117.747,-97.878,-75.983,6.373
-1828.481,-486.36,-411.275,-658.701,-759.222,-886.16,-1112.487,-1213.837,-926.819,-1432.753,-1582.919,-1211.001,-1760.369,-1428.862,-1435.652,-1198.153,-944.869,-976.783,-667.121,-699.5,-556.794,-452.367,9.345
-2763.815,-468.806,-586.055,-868.239,-1211.224,-1590.177,-1241.759,-1777.68,-2323.942,-2907.208,-3111.796,-3237.17,-3403.748,-2719.767,-2751.105,-2256.727,-1802.552,-1238.736,-1199.639,-814.949,-814.743,-586.705,7.09
