Density,Anomaly at -10,Anomaly at -9,Anomaly at -8,Anomaly at -7,Anomaly at -6,Anomaly at -5,Anomaly at -4,Anomaly at -3,Anomaly at -2,Anomaly at -1,Anomaly at 0,Anomaly at 1,Anomaly at 2,Anomaly at 3,Anomaly at 4,Anomaly at 5,Anomaly at 6,Anomaly at 7,Anomaly at 8,Anomaly at 9,Anomaly at 10,Depth
-1877.331,-766.547,-890.132,-1087.488,-1006.532,-1076.898,-1699.073,-1613.446,-1725.177,-2380.521,-2575.987,-2060.18,-2661.457,-2260.871,-2245.846,-1982.531,-1578.685,-1408.924,-1018.367,-1019.872,-838.181,-675.712,6.518
-2007.473,-396.562,-496.848,-496.014,-654.921,-706.798,-847.163,-967.403,-1073.737,-1130.116,-1167.287,-1095.45,-1521.598,-1439.886,-918.549,-984.656,-882.861,-787.401,-676.404,-563.876,-405.599,-401.81,6.649
-1801.506,-766.445,-822.305,-762.705,-940.47,-868.455,-1156.437,-1293.917,-1361.668,-1394.849,-1385.356,-1571.496,-1264.61,-1486.716,-1354.909,-1201.282,-1135.79,-952.416,-805.568,-1036.609,-652.206,-709.511,9.7
-2200.948,-1673.899,-1515.39,-2086.028,-2673.771,-3536.968,-3874.691,-5329.188,-6320.226,-7414.314,-8192.625,-7217.003,-9665.904,-7741.043,-6012.615,-5794.643,-4335.25,-3579.229,-2723.209,-2205.235,-2124.652,-1568.919,4.666
-1836.681,-1395.489,-1352.261,-1900.308,-1906.324,-2452.182,-2895.575,-3596.315,-4162.451,-4145.885,-5075.456,-5443.74,-5407.297,-4400.785,-3436.737,-3634.714,-2624.852,-2580.322,-1866.699,-1402.454,-1322.265,-1349.963,5.784
-1868.389,-5479.702,-5962.058,-5863.702,-6934.982,-6666.629,-8606.281,-9372.344,-9091.385,-9162.265,-9577.049,-12692.81,-10155.871,-10952.11,-8093.123,-8974.325,-6685.067,-7325.184,-7691.769,-6122.305,-5271.191,-5488.791,9.631
-1800.07,-1764.837,-2502.312,-2679.697,-2814.812,-3624.234,-4541.215,-6110.976,-7378.472,-8116.523,-8071.91,-9297.957,-8564.604,-8872.986,-6828.928,-6757.888,-5306.729,-3598.227,-3142.885,-2718.768,-2059.858,-2179.837,5.138
-2495.994,-2027.011,-2025.036,-2924.591,-3140.077,-3047.694,-3831.117,-4682.659,-5677.554,-5063.098,-6740.981,-7627.334,-6884.849,-6583.788,-4887.718,-4936.806,-3834.782,-3121.663,-2757.187,-2486.931,-2309.884,-2025.792,6.22
-1556.311,-905.296,-1198.855,-1521.02,-1811.808,-1901.11,-2396.684,-2529.704,-2804.361,-3384.163,-3265.186,-4819.702,-4182.877,-3453.989,-2972.089,-2461.067,-2533.559,-1852.386,-1707.272,-1546.239,-1369.538,-1142.079,6.153
-1700.858,-604.179,-697.801,-757.555,-998.042,-1189.493,-1313.426,-1752.81,-1902.426,-2337.952,-1987.661,-2539.676,-2931.772,-2047.858,-2013.847,-1790.521,-1167.449,-1294.48,-1003.578,-916.289,-678.1,-571.808,5.779
-2085.267,-694.911,-651.663,-789.912,-812.112,-906.606,-1070.251,-1453.75,-1429.409,-1381.799,-1124.198,-1490.303,-1451.668,-1433.779,-1415.619,-1134.916,-1020.593,-858.228,-951.969,-958.01,-768.745,-682.945,8.919
-1527.125,-507.315,-644.82,-680.184,-832.822,-1008.982,-1355.984,-1716.463,-2138.721,-2702.351,-3196.663,-3471.439,-4070.002,-3199.901,-2116.007,-1673.255,-1330.942,-1147.572,-832.682,-593.154,-591.161,-480.646,3.704
-1961.232,-3067.776,-3123.168,-4386.154,-5427.766,-5567.236,-5547.63,-7721.992,-6089.253,-9533.679,-8249.004,-9034.082,-8878.145,-5839.444,-7904.103,-6071.283,-6156.213,-5382.642,-4653.433,-2809.359,-3933.079,-2827.203,7.145
-2301.71,-933.355,-1167.247,-1460.287,-1689.218,-1883.593,-1953.065,-2636.65,-2281.231,-2474.73,-1892.756,-2389.905,-2254.802,-2183.188,-2322.433,-2044.601,-1728.496,-1849.921,-1734.769,-1240.726,-1454.962,-1030.667,9.422
-2191.424,-941.072,-1131.477,-1107.918,-1305.0,-1377.931,-1394.016,-1325.223,-1396.3,-1919.356,-2104.591,-1708.336,-2000.945,-1818.22,-1945.627,-1882.255,-1170.353,-1319.279,-1395.654,-1148.092,-942.339,-787.447,9.272
-1769.262,-1233.863,-1261.849,-1540.336,-1960.205,-2333.684,-2345.67,-2214.212,-3156.355,-3707.112,-3493.582,-2945.265,-4695.101,-3464.922,-3406.774,-2624.072,-2200.958,-2050.821,-1933.819,-1480.262,-1429.431,-1121.264,6.848
