Density,Anomaly at -10,Anomaly at -9,Anomaly at -8,Anomaly at -7,Anomaly at -6,Anomaly at -5,Anomaly at -4,Anomaly at -3,Anomaly at -2,Anomaly at -1,Anomaly at 0,Anomaly at 1,Anomaly at 2,Anomaly at 3,Anomaly at 4,Anomaly at 5,Anomaly at 6,Anomaly at 7,Anomaly at 8,Anomaly at 9,Anomaly at 10,Depth
-2045.726,-4596.747,-4488.853,-4706.907,-4774.406,-7558.918,-6493.0,-6525.701,-7711.427,-7970.635,-8199.265,-10512.487,-7114.866,-8264.212,-8475.282,-7370.277,-7156.017,-5993.632,-6362.085,-4631.854,-5623.088,-4201.439,9.425
-2149.554,-472.558,-607.419,-651.567,-822.336,-982.765,-1246.333,-1520.042,-1909.455,-2446.454,-2376.934,-2498.479,-2370.611,-2264.766,-1584.761,-1395.909,-1148.174,-943.139,-927.53,-726.363,-627.555,-397.53,4.466
-2264.1,-1874.413,-2254.6,-2044.769,-3520.264,-4027.293,-4799.531,-5064.451,-5147.795,-7263.012,-6249.824,-7822.128,-7312.252,-8605.283,-6355.973,-4321.718,-4814.489,-3539.542,-2771.891,-2685.57,-2168.841,-1646.163,5.468
-1914.235,-6009.114,-7635.253,-8332.881,-6590.282,-9554.756,-10283.856,-11183.503,-13474.975,-12220.494,-13573.29,-12339.782,-11862.818,-11984.746,-13164.039,-11683.842,-10847.289,-10607.44,-9144.02,-7259.955,-5962.172,-6414.301,9.447
-1596.222,-518.937,-552.784,-721.261,-955.478,-1149.296,-1680.351,-1819.993,-2623.329,-2681.03,-4019.403,-4505.087,-4407.394,-3247.303,-2584.313,-2119.873,-1633.459,-1048.895,-969.256,-721.409,-560.737,-423.885,3.579
-1708.361,-1334.675,-1664.291,-2235.483,-2086.388,-2332.02,-2465.661,-2729.926,-2683.268,-3145.507,-3172.179,-3811.149,-2837.073,-3094.959,-3134.064,-2659.653,-2165.771,-2212.83,-1641.705,-1510.651,-1463.774,-1352.985,8.628
-1848.422,-366.811,-468.034,-514.719,-617.915,-814.537,-1114.188,-1218.892,-1614.147,-2023.129,-2064.577,-2137.591,-1833.162,-1734.687,-1556.095,-1299.97,-1066.864,-880.236,-745.83,-637.256,-550.514,-362.606,4.774
-1541.775,-1519.561,-2332.709,-2103.751,-2858.412,-3344.125,-3643.583,-4144.256,-4284.655,-4208.115,-4113.821,-4317.877,-4999.916,-4937.001,-4339.123,-4544.082,-3528.662,-2870.595,-2559.458,-2459.152,-2450.284,-1948.164,7.794
-1830.534,-4395.71,-5405.281,-5439.39,-7579.426,-7425.939,-8142.65,-9131.319,-11343.605,-9652.794,-9345.924,-10713.828,-9344.269,-8621.672,-11561.54,-8291.669,-9785.556,-7412.944,-7757.787,-5508.353,-5334.497,-6140.761,9.225
-1588.437,-467.012,-550.405,-656.043,-835.59,-868.852,-867.054,-1030.735,-1110.412,-1296.784,-1229.15,-1639.404,-1232.798,-1032.43,-987.952,-1011.822,-713.402,-895.665,-755.875,-638.25,-573.434,-506.55,8.09
-1735.369,-1454.713,-1570.432,-1789.23,-1823.426,-1911.693,-2830.233,-3290.643,-3707.638,-4131.665,-4018.006,-3691.491,-3715.97,-3600.058,-4177.712,-3098.55,-3149.082,-2546.953,-2234.309,-1637.368,-1849.836,-1312.166,7.125
-1824.526,-280.402,-247.987,-345.04,-449.352,-612.053,-757.376,-1005.607,-1459.726,-1575.177,-1936.933,-2073.758,-1884.989,-1875.548,-1381.466,-1016.628,-710.293,-432.674,-369.257,-330.918,-275.819,-210.58,3.501
-2133.983,-667.003,-692.85,-920.515,-1304.315,-1224.58,-1482.082,-1591.472,-1866.274,-1648.182,-2409.929,-2261.199,-1865.704,-1907.309,-1929.401,-2081.634,-1581.867,-1372.357,-909.821,-1291.439,-796.62,-899.035,7.178
-2075.568,-2740.519,-2395.245,-4191.731,-3982.297,-5074.825,-6105.221,-6503.605,-6389.092,-7380.658,-7730.238,-8166.412,-9402.179,-8288.577,-6865.72,-5875.59,-4875.792,-5501.518,-4409.604,-3792.234,-3104.005,-2542.523,6.665
-2058.125,-876.641,-905.256,-1016.92,-1173.358,-2108.261,-1903.117,-2772.917,-3104.254,-4439.597,-5368.846,-5142.164,-5054.426,-4643.604,-3015.675,-3054.209,-2272.548,-1681.83,-1348.093,-1021.811,-1171.402,-980.746,4.568
-2366.783,-2520.927,-2453.907,-2759.811,-3269.033,-3720.723,-4051.701,-4702.137,-4876.268,-3786.708,-4453.072,-5109.723,-5234.793,-5446.695,-4743.505,-4939.069,-3892.497,-3429.234,-3251.797,-2776.683,-2817.638,-2450.204,8.79
-2061.092,-2247.919,-2674.99,-3779.07,-3549.146,-3813.991,-4193.993,-4889.392,-5106.741,-5035.095,-5537.988,-6092.254,-5740.526,-5896.612,-5098.237,-4957.971,-4134.274,-3364.882,-4083.043,-3285.752,-2987.294,-2337.813,9.819
-1971.862,-476.675,-603.779,-700.954,-835.533,-1099.721,-1218.975,-1415.696,-1545.836,-1865.477,-2076.694,-2243.244,-1961.312,-2102.889,-1590.361,-1517.583,-1182.051,-1005.645,-905.848,-682.377,-614.664,-369.616,5.391
-2018.162,-1957.862,-2322.209,-2490.116,-2805.612,-3544.331,-3772.235,-4192.655,-4604.461,-5160.419,-4736.134,-5497.021,-4682.747,-4928.957,-3914.313,-3556.952,-3279.72,-2846.349,-2414.036,-2603.967,-2607.993,-1707.107,7.722
-1869.504,-563.684,-686.519,-918.809,-916.805,-925.113,-1478.554,-1812.549,-1528.379,-1943.318,-2422.406,-2467.155,-2386.966,-1951.066,-1869.759,-1485.874,-1109.931,-1219.694,-944.911,-875.272,-718.321,-654.709,5.823
-2327.831,-8790.428,-9760.18,-7677.844,-10962.488,-12532.654,-12339.784,-18177.223,-17347.671,-11549.675,-19568.918,-17188.869,-16278.126,-16088.607,-18343.493,-13136.426,-12490.021,-12945.423,-10532.719,-8973.838,-7292.783,-6796.171,8.948
-2059.566,-805.657,-1051.012,-1007.18,-1279.124,-1563.369,-1751.633,-1752.304,-2529.513,-2602.586,-2686.803,-2735.53,-2572.498,-2542.196,-2148.22,-2295.557,-1558.01,-1798.402,-1579.383,-1059.106,-869.869,-838.31,6.454
-2052.032,-1774.656,-1707.815,-1826.452,-2062.784,-1737.363,-2839.273,-2849.637,-2707.493,-2780.514,-3639.335,-3694.75,-3678.941,-3270.733,-2781.419,-2355.312,-2481.504,-2621.497,-2046.297,-1644.29,-1390.517,-1239.981,8.743
-1984.036,-3740.309,-4439.848,-5476.672,-5482.055,-5603.198,-6000.244,-7876.069,-8272.863,-8415.309,-10508.498,-8718.333,-7660.939,-7504.368,-8078.038,-8625.476,-6106.23,-6178.853,-4718.728,-5192.647,-4198.21,-3014.698,7.537
-2032.585,-500.281,-514.543,-650.679,-772.01,-769.241,-899.502,-988.651,-1240.933,-1319.912,-1550.214,-1518.138,-1486.151,-1330.696,-1082.95,-1114.395,-1018.344,-777.468,-717.331,-591.511,-547.896,-508.191,6.767
-2456.275,-873.839,-903.473,-1034.411,-1165.64,-1327.441,-1705.803,-1791.107,-1623.866,-1906.317,-1619.984,-1689.83,-2059.619,-1792.595,-1790.268,-1838.347,-1299.973,-1508.371,-1035.964,-893.364,-847.103,-719.05,8.392
-1769.322,-580.151,-594.384,-847.155,-991.527,-1231.81,-1769.004,-2538.354,-3161.208,-4095.1,-4294.189,-5292.218,-5135.898,-3801.98,-2448.505,-2440.374,-1933.974,-1234.926,-1114.571,-871.713,-762.592,-494.943,3.328
-2347.268,-6738.212,-7775.482,-8133.929,-9786.676,-10739.219,-11615.906,-12488.861,-13924.388,-13744.814,-15962.959,-12975.146,-15553.294,-16705.614,-13616.536,-13645.297,-11836.555,-12139.135,-8553.447,-7000.48,-6394.399,-5917.441,7.94
-1555.668,-2866.881,-3524.168,-4000.238,-3522.378,-4586.798,-4762.681,-5585.454,-5501.8,-7578.486,-7733.255,-6960.102,-8177.098,-7558.736,-5002.252,-5506.147,-5123.867,-4633.006,-4147.641,-3721.256,-2908.473,-2278.249,8.54
-1761.725,-1643.622,-1164.788,-1907.531,-1497.801,-1896.031,-2463.859,-2634.641,-2561.323,-3067.236,-3064.785,-3031.555,-2992.479,-3009.051,-2680.421,-2827.517,-2682.669,-2095.611,-1815.609,-2125.49,-1694.886,-1321.574,9.469
-1525.754,-3912.137,-4866.709,-5394.745,-6496.491,-7729.702,-10246.415,-10449.255,-10544.357,-16261.946,-12443.197,-13221.324,-12264.247,-11675.422,-11493.402,-10598.429,-10054.772,-7136.96,-6987.523,-6336.577,-6283.945,-4441.609,7.82
