Density,Anomaly at -10,Anomaly at -9,Anomaly at -8,Anomaly at -7,Anomaly at -6,Anomaly at -5,Anomaly at -4,Anomaly at -3,Anomaly at -2,Anomaly at -1,Anomaly at 0,Anomaly at 1,Anomaly at 2,Anomaly at 3,Anomaly at 4,Anomaly at 5,Anomaly at 6,Anomaly at 7,Anomaly at 8,Anomaly at 9,Anomaly at 10,Depth
-1779.109,-242.773,-293.086,-405.329,-395.842,-655.96,-854.329,-1264.785,-1618.911,-2919.485,-3419.067,-4476.328,-3699.556,-2233.941,-1718.414,-1355.132,-732.524,-620.122,-524.949,-417.629,-305.335,-238.888,2.445
-1603.712,-2292.374,-2586.421,-2876.429,-3333.786,-4335.842,-5209.278,-5087.1,-7093.637,-6896.441,-8413.891,-9261.121,-9235.389,-8926.066,-6253.143,-5385.106,-5074.797,-4540.998,-3639.252,-2874.912,-2170.262,-2269.185,5.746
-1959.456,-768.913,-922.318,-1061.245,-978.825,-1528.518,-1841.232,-2234.93,-2751.354,-3408.798,-3972.121,-3425.209,-3679.292,-3142.25,-2391.624,-2246.329,-1916.303,-1480.093,-1380.808,-1038.888,-917.522,-642.114,4.671
-1983.045,-700.337,-811.055,-712.33,-1013.316,-1288.51,-1301.159,-1513.846,-1358.453,-1380.613,-1424.701,-1606.733,-1738.385,-1740.229,-1713.322,-1316.739,-1438.234,-1173.283,-994.743,-862.957,-912.732,-799.816,8.321
-1667.142,-933.233,-1149.91,-1475.841,-1937.77,-2428.626,-2420.552,-3044.711,-4228.975,-5798.552,-5393.667,-5814.801,-5938.829,-5990.628,-4477.083,-3583.248,-2858.094,-1902.013,-1800.881,-1477.969,-1191.37,-970.559,4.37
-2204.906,-2069.119,-2555.603,-3206.129,-2595.932,-4572.175,-3797.641,-3728.406,-6256.984,-7524.342,-7313.049,-8828.989,-7692.681,-6635.725,-7124.543,-4553.647,-4512.618,-3700.038,-2772.635,-3086.065,-2588.524,-1907.262,5.67
-2456.467,-1845.09,-2029.857,-1861.215,-2703.281,-2847.239,-2638.182,-2984.423,-2964.485,-3189.25,-3511.094,-3713.821,-3613.774,-3520.959,-3209.767,-2711.905,-2838.542,-2408.228,-2456.149,-1829.261,-1848.114,-1399.835,9.298
-1704.863,-5419.444,-5792.758,-6134.63,-7590.972,-5035.156,-8233.44,-9271.95,-9799.962,-10023.024,-10236.715,-12965.847,-9443.188,-10367.445,-9881.358,-7423.366,-8045.691,-8058.12,-7270.612,-5497.643,-5291.367,-4683.135,8.73
-1928.34,-707.658,-850.436,-1208.821,-1556.744,-1715.441,-2037.808,-2602.464,-3524.703,-4069.051,-4737.764,-6271.295,-4979.695,-4244.181,-2967.63,-2928.337,-1970.266,-1903.13,-1301.028,-1079.152,-873.114,-609.656,4.044
-1677.915,-398.182,-418.538,-382.354,-586.733,-808.443,-875.466,-940.905,-1201.76,-1356.477,-1389.112,-1388.02,-1356.803,-1216.586,-951.597,-609.441,-680.753,-606.269,-584.929,-457.958,-435.62,-337.757,5.74
