Density,Anomaly at -10,Anomaly at -9,Anomaly at -8,Anomaly at -7,Anomaly at -6,Anomaly at -5,Anomaly at -4,Anomaly at -3,Anomaly at -2,Anomaly at -1,Anomaly at 0,Anomaly at 1,Anomaly at 2,Anomaly at 3,Anomaly at 4,Anomaly at 5,Anomaly at 6,Anomaly at 7,Anomaly at 8,Anomaly at 9,Anomaly at 10,Depth
-1507.577,-1610.646,-1780.277,-1948.495,-2120.581,-2576.707,-2862.72,-3167.162,-3158.263,-3356.143,-3376.544,-3201.328,-3489.298,-3830.357,-2862.594,-2976.401,-2535.291,-2431.139,-2098.771,-2323.85,-1958.909,-1558.766,9.882
-1936.286,-1721.022,-1709.596,-1968.55,-2817.746,-2651.907,-3506.979,-3726.747,-4068.728,-4863.46,-5026.771,-5152.441,-4802.749,-4640.889,-4372.48,-4210.239,-3102.341,-2803.108,-2437.778,-2351.36,-1969.804,-1516.291,7.304
-1873.769,-1505.244,-1901.843,-2194.78,-2000.982,-2802.563,-2428.706,-3513.16,-3815.372,-4332.38,-4277.876,-4246.21,-3953.995,-4011.188,-3863.28,-3294.139,-3275.487,-2495.88,-2294.456,-2102.316,-1570.831,-1333.144,7.411
-1642.836,-479.587,-576.057,-655.011,-794.062,-867.381,-1105.888,-1112.625,-991.49,-1123.429,-1167.082,-1242.85,-1186.931,-1140.692,-1085.081,-1094.359,-974.583,-897.722,-856.005,-749.112,-659.093,-511.633,8.272
-2361.781,-4821.905,-4999.016,-5762.054,-5870.692,-9013.456,-8744.74,-11360.124,-12412.558,-12653.37,-15756.321,-14962.05,-16611.682,-13076.774,-12989.899,-11531.158,-9825.299,-7864.096,-7209.059,-6261.447,-5256.196,-4618.055,6.504
-2016.695,-1097.552,-1350.435,-1212.008,-1608.67,-2054.009,-2078.297,-2952.672,-3300.782,-3792.832,-3408.267,-4137.812,-4103.125,-3818.15,-3624.942,-2912.174,-2005.137,-2258.73,-1795.157,-1538.967,-1275.21,-1128.24,5.789
-1863.359,-1081.528,-1321.821,-1652.048,-1707.852,-1895.974,-2146.882,-2600.497,-3354.703,-2595.849,-3324.21,-3399.734,-3422.291,-2934.429,-2762.793,-2684.635,-2261.357,-2184.447,-1744.482,-1549.08,-1601.702,-1243.196,8.096
-2250.938,-5164.371,-6251.901,-6951.568,-7641.245,-8443.311,-7912.359,-8874.667,-9909.325,-10974.433,-8228.342,-10131.592,-10321.878,-9882.688,-10200.711,-10082.799,-9312.707,-8357.134,-7119.89,-5525.938,-5527.196,-5265.259,9.891
-1825.084,-1771.49,-2090.679,-2055.521,-3061.153,-3392.644,-4372.435,-5930.766,-6045.715,-7419.177,-9076.473,-8842.963,-8180.685,-8004.718,-6795.34,-5264.544,-4870.373,-3236.965,-2724.744,-2567.356,-2186.153,-1790.456,4.981
-2080.7,-341.686,-361.765,-490.674,-685.508,-782.406,-902.848,-1060.473,-1443.934,-1742.726,-2238.195,-2009.493,-1954.912,-1845.921,-1449.611,-1117.679,-986.972,-755.421,-649.677,-494.918,-460.343,-392.883,4.424
