Density,Anomaly at -10,Anomaly at -9,Anomaly at -8,Anomaly at -7,Anomaly at -6,Anomaly at -5,Anomaly at -4,Anomaly at -3,Anomaly at -2,Anomaly at -1,Anomaly at 0,Anomaly at 1,Anomaly at 2,Anomaly at 3,Anomaly at 4,Anomaly at 5,Anomaly at 6,Anomaly at 7,Anomaly at 8,Anomaly at 9,Anomaly at 10,Depth
-2193.015,-1957.696,-2377.553,-2305.405,-2744.745,-2928.949,-4053.911,-4602.94,-4064.36,-3979.054,-4622.734,-3626.649,-4388.445,-4490.889,-4251.045,-4133.959,-3273.657,-2823.069,-2555.288,-2223.718,-2325.887,-1669.673,7.866
-1884.546,-320.595,-423.057,-540.747,-512.615,-607.188,-878.943,-1028.94,-1264.89,-1259.296,-1421.805,-1725.83,-1445.627,-1403.556,-1192.56,-904.543,-733.558,-522.331,-504.819,-552.642,-384.151,-324.967,5.387
-2333.048,-384.385,-466.511,-597.036,-714.765,-883.433,-910.915,-1436.697,-1709.401,-1398.586,-1967.515,-1786.078,-2278.68,-1473.733,-1412.754,-1281.892,-1099.617,-864.507,-713.974,-551.961,-470.117,-358.918,4.892
-1789.185,-471.629,-575.348,-628.137,-740.156,-728.726,-1015.119,-1165.4,-1041.972,-1152.653,-985.099,-1398.274,-1289.658,-1257.082,-1206.22,-1064.888,-909.525,-640.878,-794.555,-606.168,-573.057,-369.793,7.492
-1589.508,-1598.635,-1832.125,-1828.145,-2383.489,-2458.228,-2855.191,-2339.382,-3718.388,-3594.022,-3814.71,-3610.578,-2942.674,-2875.363,-3082.531,-3256.726,-2923.239,-2512.91,-2417.137,-2331.24,-2229.086,-1227.272,9.805
-1817.652,-2781.808,-3653.483,-3647.431,-3855.292,-4477.267,-5071.27,-5702.362,-6902.575,-6987.556,-8763.528,-6747.867,-6950.735,-9274.298,-7536.643,-5610.545,-5219.84,-5136.159,-3815.637,-2995.703,-3265.64,-2608.352,7.048
-1549.118,-1537.344,-2020.243,-1721.678,-2071.077,-2734.256,-2614.132,-3105.779,-3525.221,-2635.591,-4010.592,-3267.854,-4022.999,-3301.909,-2479.309,-3214.735,-2678.551,-2309.909,-2076.63,-1747.283,-1716.978,-1489.641,8.899
-2040.44,-6097.834,-6424.776,-7151.936,-8297.438,-8893.277,-10518.003,-12174.365,-11185.243,-13898.261,-11641.779,-13250.411,-14662.942,-13801.802,-13845.094,-10839.559,-11120.814,-9090.711,-7931.495,-7325.357,-7288.311,-6643.373,9.47
-1538.741,-1259.351,-1439.176,-1551.602,-1859.763,-2039.482,-2883.522,-3107.839,-3911.455,-4179.996,-4119.914,-5421.877,-4068.645,-4254.716,-4146.295,-3347.53,-3072.46,-2443.619,-1677.732,-1765.884,-1403.975,-1111.521,5.213
-2096.044,-599.936,-712.258,-775.488,-1096.12,-1106.517,-1583.718,-1944.437,-2456.343,-2611.527,-3011.983,-3169.853,-3173.741,-2793.61,-2302.26,-1636.714,-1478.485,-1257.894,-1020.349,-820.179,-618.527,-582.988,4.806
